# w*t (2*pi)	rel err in unct (5)	rel err in unct (3)
# hb=m=1	V=0	dx=dt=0.02
0.000000e+00 -1.435934e-07 -1.435934e-07
1.000000e-01 -1.165118e-07 -8.334049e-08
2.000000e-01 -3.532212e-08 9.730233e-08
3.000000e-01 9.982346e-08 3.979972e-07
4.000000e-01 2.886721e-07 8.181818e-07
5.000000e-01 5.308726e-07 1.357074e-06
6.000000e-01 8.259749e-07 2.013673e-06
7.000000e-01 1.173434e-06 2.786767e-06
8.000000e-01 1.572611e-06 3.674934e-06
9.000000e-01 2.022779e-06 4.676554e-06
1.000000e+00 2.523120e-06 5.789813e-06
1.100000e+00 3.072737e-06 7.012711e-06
1.200000e+00 3.670651e-06 8.343071e-06
1.300000e+00 4.315809e-06 9.778551e-06
1.400000e+00 5.007087e-06 1.131665e-05
1.500000e+00 5.743295e-06 1.295472e-05
1.600000e+00 6.523182e-06 1.468998e-05
1.700000e+00 7.345442e-06 1.651951e-05
1.800000e+00 8.208716e-06 1.844032e-05
1.900000e+00 9.111603e-06 2.044926e-05
2.000000e+00 1.005266e-05 2.254312e-05
2.100000e+00 1.103041e-05 2.471863e-05
2.200000e+00 1.204333e-05 2.697243e-05
2.300000e+00 1.308992e-05 2.930110e-05
2.400000e+00 1.416860e-05 3.170120e-05
2.500000e+00 1.527781e-05 3.416925e-05
2.600000e+00 1.641599e-05 3.670173e-05
2.700000e+00 1.758154e-05 3.929514e-05
2.800000e+00 1.877290e-05 4.194597e-05
2.900000e+00 1.998848e-05 4.465070e-05
3.000000e+00 2.122672e-05 4.740585e-05
3.100000e+00 2.248607e-05 5.020797e-05
3.200000e+00 2.376498e-05 5.305363e-05
3.300000e+00 2.506195e-05 5.593946e-05
3.400000e+00 2.637547e-05 5.886213e-05
3.500000e+00 2.770407e-05 6.181836e-05
3.600000e+00 2.904631e-05 6.480496e-05
3.700000e+00 3.040079e-05 6.781877e-05
3.800000e+00 3.176612e-05 7.085675e-05
3.900000e+00 3.314096e-05 7.391589e-05
4.000000e+00 3.452401e-05 7.699330e-05
4.100000e+00 3.591400e-05 8.008615e-05
4.200000e+00 3.730970e-05 8.319172e-05
4.300000e+00 3.870992e-05 8.630735e-05
4.400000e+00 4.011352e-05 8.943051e-05
4.500000e+00 4.151939e-05 9.255873e-05
4.600000e+00 4.292648e-05 9.568965e-05
4.700000e+00 4.433375e-05 9.882100e-05
4.800000e+00 4.574024e-05 1.019506e-04
4.900000e+00 4.714502e-05 1.050764e-04
5.000000e+00 4.854719e-05 1.081964e-04
5.100000e+00 4.994590e-05 1.113087e-04
5.200000e+00 5.134034e-05 1.144116e-04
5.300000e+00 5.272976e-05 1.175032e-04
5.400000e+00 5.411342e-05 1.205821e-04
5.500000e+00 5.549065e-05 1.236466e-04
5.600000e+00 5.686079e-05 1.266954e-04
5.700000e+00 5.822324e-05 1.297270e-04
5.800000e+00 5.957743e-05 1.327403e-04
5.900000e+00 6.092282e-05 1.357340e-04
6.000000e+00 6.225892e-05 1.387071e-04
6.100000e+00 6.358526e-05 1.416584e-04
6.200000e+00 6.490141e-05 1.445871e-04
6.300000e+00 6.620697e-05 1.474922e-04
6.400000e+00 6.750158e-05 1.503729e-04
6.500000e+00 6.878489e-05 1.532285e-04
6.600000e+00 7.005660e-05 1.560583e-04
6.700000e+00 7.131642e-05 1.588616e-04
6.800000e+00 7.256410e-05 1.616380e-04
6.900000e+00 7.379941e-05 1.643868e-04
7.000000e+00 7.502214e-05 1.671076e-04
7.100000e+00 7.623211e-05 1.698000e-04
7.200000e+00 7.742916e-05 1.724637e-04
7.300000e+00 7.861315e-05 1.750984e-04
7.400000e+00 7.978396e-05 1.777037e-04
7.500000e+00 8.094149e-05 1.802794e-04
7.600000e+00 8.208565e-05 1.828254e-04
7.700000e+00 8.321638e-05 1.853416e-04
7.800000e+00 8.433364e-05 1.878277e-04
7.900000e+00 8.543738e-05 1.902838e-04
8.000000e+00 8.652758e-05 1.927097e-04
8.100000e+00 8.760425e-05 1.951056e-04
8.200000e+00 8.866738e-05 1.974713e-04
8.300000e+00 8.971699e-05 1.998069e-04
8.400000e+00 9.075312e-05 2.021126e-04
8.500000e+00 9.177580e-05 2.043883e-04
8.600000e+00 9.278508e-05 2.066342e-04
8.700000e+00 9.378102e-05 2.088504e-04
8.800000e+00 9.476369e-05 2.110371e-04
8.900000e+00 9.573316e-05 2.131944e-04
9.000000e+00 9.668951e-05 2.153226e-04
9.100000e+00 9.763284e-05 2.174217e-04
9.200000e+00 9.856324e-05 2.194921e-04
9.300000e+00 9.948080e-05 2.215339e-04
9.400000e+00 1.003856e-04 2.235474e-04
9.500000e+00 1.012779e-04 2.255329e-04
9.600000e+00 1.021576e-04 2.274905e-04
9.700000e+00 1.030249e-04 2.294206e-04
9.800000e+00 1.038800e-04 2.313234e-04
9.900000e+00 1.047230e-04 2.331992e-04
1.000000e+01 1.055540e-04 2.350484e-04
1.010000e+01 1.063730e-04 2.368711e-04
1.020000e+01 1.071804e-04 2.386677e-04
1.030000e+01 1.079761e-04 2.404384e-04
1.040000e+01 1.087604e-04 2.421837e-04
1.050000e+01 1.095334e-04 2.439037e-04
1.060000e+01 1.102951e-04 2.455989e-04
